Organisation,Branch,SubBranch,SubSubBranch,Acronym,Type,Region,Country,Website,Facebook,Twitter,Domain
American Red Cross,,,,ARC,Red Cross / Red Crescent,,US,www.redcross.org,http://www.facebook.com/redcross,redcross,redcross.org
American Red Cross,National Headquarters,,,NHQ,Red Cross / Red Crescent,,US,,,,
American Red Cross,Program Management Office,,,PMO,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Bluegrass Region,Big Sandy Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Bluegrass Region,Bluegrass Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Bluegrass Region,Central Kentucky,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Bluegrass Region,Daniel Boone,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Bluegrass Region,Lake Cumberland Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Bluegrass Region,Mid-East Kentucky,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Bluegrass Region,Northeast KY,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Bluegrass Region,Southeastern Kentucky,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Central and Northern Michigan Region,American Red Cross of Northern Lower Michigan,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Central and Northern Michigan Region,Central Michigan,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Central and Northern Michigan Region,Genesee-Lapeer,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Central and Northern Michigan Region,Great Lakes Bay,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Central and Northern Michigan Region,Livingston County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Central and Northern Michigan Region,Mecosta-Osceola,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Central and Northern Michigan Region,Mid-Michigan,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Central and Northern Michigan Region,South Central Michigan,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Central and Northern Michigan Region,Superior Upper Peninsula,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Columbus Region,,,,,,,,ColsRedCross,
American Red Cross,Crossroads Division,Columbus Region,American Red Cross of Coshocton County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/coshocton,https://www.facebook.com/RedCrossECOhio,,
American Red Cross,Crossroads Division,Columbus Region,American Red Cross of Fairfield and Hocking Counties,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/lancaster,https://www.facebook.com/RedCrossFHCO,,
American Red Cross,Crossroads Division,Columbus Region,American Red Cross of Greater Columbus,,Red Cross / Red Crescent,IN,US,http://www.redcross.org/in/columbus,https://www.facebook.com/colsredcross,,
American Red Cross,Crossroads Division,Columbus Region,American Red Cross of Knox County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/mount-vernon,https://www.facebook.com/RedCrossECOhio,,
American Red Cross,Crossroads Division,Columbus Region,American Red Cross of Southeastern Ohio,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/athens,https://www.facebook.com/RedCrossSEOhio,,
American Red Cross,Crossroads Division,Columbus Region,Crawford County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/bucyrus,https://www.facebook.com/pages/American-Red-Cross-of-Crawford-County/409208872466521,,
American Red Cross,Crossroads Division,Columbus Region,Crestline Area,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/bucyrus,,,
American Red Cross,Crossroads Division,Columbus Region,Delaware County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/delaware,,delcoredcross,
American Red Cross,Crossroads Division,Columbus Region,First Capital District,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/chillicothe,https://www.facebook.com/FirstCapitalDistrictRedCross,,
American Red Cross,Crossroads Division,Columbus Region,Galion,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/bucyrus,,,
American Red Cross,Crossroads Division,Columbus Region,Licking County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/newark,https://www.facebook.com/RedCrossECOhio,,
American Red Cross,Crossroads Division,Columbus Region,Marion County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/columbus,,,
American Red Cross,Crossroads Division,Columbus Region,Morrow County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/mt-gilead,https://www.facebook.com/morrowcountyredcrosschapter,,
American Red Cross,Crossroads Division,Columbus Region,Muskingum Valley,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/zanesville,https://www.facebook.com/muskingum.cross,,
American Red Cross,Crossroads Division,Columbus Region,Union County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/columbus,,,
American Red Cross,Crossroads Division,Columbus Region,Washington County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/marietta,https://www.facebook.com/pages/Washington-County-American-Red-Cross/364320776934475,,
American Red Cross,Crossroads Division,Evansville Region,Southwestern Indiana,,Red Cross / Red Crescent,IN,US,,,,
American Red Cross,Crossroads Division,Evansville Region,Wabash Valley,,Red Cross / Red Crescent,IN,US,http://www.redcross.org/in/evansville,http://www.facebook.com/evansvilleredcross,evvredcross,
American Red Cross,Crossroads Division,Greater Cincinnati-Dayton Region,American Red Cross of Logan County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/west-liberty,,,
American Red Cross,Crossroads Division,Greater Cincinnati-Dayton Region,American Red Cross of the Northern Miami Valley,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/troy,http://www.facebook.com/NMVARC,NMVRedCross,
American Red Cross,Crossroads Division,Greater Cincinnati-Dayton Region,Cincinnati Area,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/cincinnati,http://www.facebook.com/CinciRedCross,CinciRedCross,
American Red Cross,Crossroads Division,Greater Cincinnati-Dayton Region,Clark-Champaign,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/springfield,,,
American Red Cross,Crossroads Division,Greater Cincinnati-Dayton Region,Darke County,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/greenville,http://www.facebook.com/pages/Darke-County-Chapter-American-Red-Cross/62299159116,DarkeCyRedCross,
American Red Cross,Crossroads Division,Greater Cincinnati-Dayton Region,Dayton Area,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/dayton,http://www.facebook.com/DaytonRedCross,DaytonRedCross,
American Red Cross,Crossroads Division,Greater Cincinnati-Dayton Region,Mason County,,Red Cross / Red Crescent,KY,US,http://www.redcross.org/ky/maysville,http://www.facebook.com/MasonCountyARC,MasonCountyRC,
American Red Cross,Crossroads Division,Greater Cincinnati-Dayton Region,Ohio River Valley,,Red Cross / Red Crescent,OH,US,http://www.redcross.org/oh/portsmouth,http://www.facebook.com/ORVredcross,ORVredcross,
American Red Cross,Crossroads Division,Greater Cincinnati-Dayton Region,Southeastern Indiana,,Red Cross / Red Crescent,IN,US,http://www.redcross.org/in/lawrenceburg,https://www.facebook.com/pages/Southeastern-Indiana-Chapter-of-the-American-Red-Cross/223842167699941,,
American Red Cross,Crossroads Division,Greater Cincinnati-Dayton Region,Wayne-Union County,,Red Cross / Red Crescent,IN,US,http://www.redcross.org/in/richmond,https://www.facebook.com/pages/American-Red-Cross-WayneUnion-Co-Chapter/224284594261535,WayneUnionARC,
American Red Cross,Crossroads Division,Indianapolis Region,American Red Cross of Greater Indianapolis,,Red Cross / Red Crescent,IN,US,http://www.redcross.org/in/indianapolis,https://www.facebook.com/INRedCross,INredcross,
American Red Cross,Crossroads Division,Indianapolis Region,American Red Cross of North Central Indiana,,Red Cross / Red Crescent,IN,US,http://www.redcross.org/in/wabash,http://www.facebook.com/redcrossofnci,,
American Red Cross,Crossroads Division,Indianapolis Region,American Red Cross of Northeast Indiana,,Red Cross / Red Crescent,IN,US,http://www.redcross.org/in/fort-wayne,http://www.facebook.com/redcrossofnei,redcrossofnei,
American Red Cross,Crossroads Division,Indianapolis Region,Adams County,,Red Cross / Red Crescent,IN,US,,,,
American Red Cross,Crossroads Division,Indianapolis Region,Bartholomew-Brown County,,Red Cross / Red Crescent,IN,US,,,,
American Red Cross,Crossroads Division,Indianapolis Region,Elkhart County,,Red Cross / Red Crescent,IN,US,http://www.redcross.org/in/elkhart,https://www.facebook.com/pages/American-Red-Cross-Elkhart-County-Chapter-IN/24054328742,RedCrossElkhart,
American Red Cross,Crossroads Division,Indianapolis Region,Hoosier Hills,,Red Cross / Red Crescent,IN,US,http://www.redcross.org/in/bedford,https://www.facebook.com/pages/American-Red-Cross-Hoosier-Hills-Chapter/168863506538591,,
American Red Cross,Crossroads Division,Indianapolis Region,Huntington County,,Red Cross / Red Crescent,IN,US,,,,
American Red Cross,Crossroads Division,Indianapolis Region,Jackson County,,Red Cross / Red Crescent,IN,US,,,,
American Red Cross,Crossroads Division,Indianapolis Region,Kosciusko County,,Red Cross / Red Crescent,IN,US,http://www.redcross.org/in/warsaw,,RedCrossKosco,
American Red Cross,Crossroads Division,Indianapolis Region,LaPorte County,,Red Cross / Red Crescent,IN,US,http://www.redcross.org/in/michigan-city,https://www.facebook.com/pages/American-Red-Cross-LaPorte-County-IN/205419574925,ARCLaPorte,
American Red Cross,Crossroads Division,Indianapolis Region,Marshall County,,Red Cross / Red Crescent,IN,US,,,,
American Red Cross,Crossroads Division,Indianapolis Region,Monroe County,,Red Cross / Red Crescent,IN,US,http://www.redcross.org/in/bloomington,https://www.facebook.com/pages/Monroe-County-Chapter-of-the-American-Red-Cross/172274977070,,
American Red Cross,Crossroads Division,Indianapolis Region,Porter County,,Red Cross / Red Crescent,IN,US,http://www.redcross.org/in/valparaiso,https://www.facebook.com/PorterCountyRedCross,arc_porter_co,
American Red Cross,Crossroads Division,Indianapolis Region,Saint Joseph County,,Red Cross / Red Crescent,IN,US,http://www.redcross.org/in/south-bend,https://www.facebook.com/ARCSouthBend,RedCrossSB,
American Red Cross,Crossroads Division,Indianapolis Region,Tippecanoe County,,Red Cross / Red Crescent,IN,US,http://www.redcross.org/in/lafayette,https://www.facebook.com/lafayetteredcross,Tippearc,
American Red Cross,Crossroads Division,Kentuckiana Region,American Red Cross of Lakeland Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Kentuckiana Region,American Red Cross of South Central Kentucky,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Kentuckiana Region,Barren County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Kentuckiana Region,Calloway County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Kentuckiana Region,Clark County,,Red Cross / Red Crescent,IN,US,http://www.redcross.org/in/jeffersonville,,ClarkRedCross,
American Red Cross,Crossroads Division,Kentuckiana Region,Franklin County,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Kentuckiana Region,Graves County,,Red Cross / Red Crescent,,US,,,,
