Template,Template Description,Complete Question,Date Question,Time Question,Location Detail,Priority Question,Section,Section Position,Question,Question Type,Question Notes,Question Position,Question Code,Meta Data
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,2.0 Type of emergency and date(s) it/they occurred,2,Emergency date,Date,,1,ARCS-1,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,2.0 Type of emergency and date(s) it/they occurred,2,Type of emergency,Grid,,2,ARCS-2,"{'rows': [''], 'Subtitle': '', 'col-cnt': '9', 'row-cnt': '1', 'data': [['YesNo', 'YesNo', 'YesNo', 'YesNo', 'YesNo', 'YesNo', 'YesNo', 'YesNo', 'String']], 'columns': ['Earthquake', 'Flood', 'Landslide', 'Avalanche', 'Drought', 'Sandstorm', 'Conflict (ANSF/Armed Opposition)', 'Conflict (Other)', 'Other']}"
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Total number of directly affected persons (HHs),Numeric,,3,ARCS-3,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,How many families were in the affected area before the disaster? (HHs),Numeric,,4,ARCS-4,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,How many families have remained in place of origin after the disaster? (HHs),Numeric,,5,ARCS-5,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,How many families displaced? (HHs),Numeric,,6,ARCS-6,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Location of displaced people,String,,7,ARCS-7,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Where are the displaced people currently living?,OptionOther,,8,ARCS-8,"{'1': 'in camps', '2': 'with host families', '3': 'in schools/public buildings', '4': 'in the open', 'Length': '4'}"
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,What are places of origin for the displaced people before the disaster?,String,,9,ARCS-9,
ARCS Rapid Assessment Form,Afghanistan Red Crescent Rapid Assessment Form,Name of Assesor(s),Assessment Date,Time of Assessment,"['L0', 'L1', 'L2', 'L3', 'Lat', 'Lon']",ARCS-21,3.0 Affected Population (where applicable),3,Total number of indirectly affected persons (e.g host communities) (HHs),Numeric,,10,ARCS-10,
