Organisation,Branch,SubBranch,SubSubBranch,Acronym,Type,Region,Country,Website,Facebook,Twitter,Domain
American Red Cross,,,,ARC,Red Cross / Red Crescent,,US,www.redcross.org,www.facebook.com/redcross,redcross,redcross.org
American Red Cross,National Headquarters,,,NHQ,Red Cross / Red Crescent,,US,,,,
American Red Cross,Program Management Office,,,PMO,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Bluegrass Region,Big Sandy Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Bluegrass Region,Bluegrass Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Bluegrass Region,Central Kentucky,,Red Cross / Red Crescent,KY,US,,,,
American Red Cross,Crossroads Division,Bluegrass Region,Daniel Boone,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Bluegrass Region,Lake Cumberland Area,,Red Cross / Red Crescent,,US,,,,
American Red Cross,Crossroads Division,Bluegrass Region,Mid-East Kentucky,,Red Cross / Red Crescent,KY,US,,,,
American Red Cross,Crossroads Division,Bluegrass Region,Northeast KY,,Red Cross / Red Crescent,KY,US,,,,
American Red Cross,Crossroads Division,Bluegrass Region,Southeastern Kentucky,,Red Cross / Red Crescent,KY,US,,,,
American Red Cross,Crossroads Division,Central and Northern Michigan Region,American Red Cross of Northern Lower Michigan,,Red Cross / Red Crescent,MI,US,,,,
American Red Cross,Crossroads Division,Central and Northern Michigan Region,Central Michigan,,Red Cross / Red Crescent,MI,US,,,,
American Red Cross,Crossroads Division,Central and Northern Michigan Region,Genesee-Lapeer,,Red Cross / Red Crescent,MI,US,,,,
American Red Cross,Crossroads Division,Central and Northern Michigan Region,Great Lakes Bay,,Red Cross / Red Crescent,MI,US,,,,
American Red Cross,Crossroads Division,Central and Northern Michigan Region,Livingston County,,Red Cross / Red Crescent,MI,US,,,,
American Red Cross,Crossroads Division,Central and Northern Michigan Region,Mecosta-Osceola,,Red Cross / Red Crescent,MI,US,,,,
American Red Cross,Crossroads Division,Central and Northern Michigan Region,Mid-Michigan,,Red Cross / Red Crescent,MI,US,,,,
American Red Cross,Crossroads Division,Central and Northern Michigan Region,South Central Michigan,,Red Cross / Red Crescent,MI,US,,,,
American Red Cross,Crossroads Division,Central and Northern Michigan Region,Superior Upper Peninsula,,Red Cross / Red Crescent,MI,US,,,,
American Red Cross,Crossroads Division,Columbus Region,,,,,,,,ColsRedCross,
American Red Cross,Crossroads Division,Columbus Region,American Red Cross of Coshocton County,,Red Cross / Red Crescent,OH,US,www.redcross.org/oh/coshocton,www.facebook.com/RedCrossECOhio,,
American Red Cross,Crossroads Division,Columbus Region,American Red Cross of Fairfield and Hocking Counties,,Red Cross / Red Crescent,OH,US,www.redcross.org/oh/lancaster,www.facebook.com/RedCrossFHCO,,
American Red Cross,Crossroads Division,Columbus Region,American Red Cross of Greater Columbus,,Red Cross / Red Crescent,IN,US,www.redcross.org/in/columbus,www.facebook.com/colsredcross,,
American Red Cross,Crossroads Division,Columbus Region,American Red Cross of Knox County,,Red Cross / Red Crescent,OH,US,www.redcross.org/oh/mount-vernon,www.facebook.com/RedCrossECOhio,,
American Red Cross,Crossroads Division,Columbus Region,American Red Cross of Southeastern Ohio,,Red Cross / Red Crescent,OH,US,www.redcross.org/oh/athens,www.facebook.com/RedCrossSEOhio,,
