Organisation,Acronym,Name L10n:ar,Name L10n:da,Name L10n:de,Name L10n:es,Name L10n:fr,Name L10n:id,Name L10n:is,Name L10n:it,Name L10n:prs,Name L10n:ps,Name L10n:pt,Acronym L10n:es,Type,Region,Country,Website,Twitter,Domain
International Federation of Red Cross and Red Crescent Societies,IFRC,الاتحاد الدولي لجمعيات الصليب الأحمر والهلال الأحمر,,,Federación Internacional de Sociedades de la Cruz Roja y de la Media Luna Roja,Fédération Internationale des Sociétés de la Croix-Rouge et du Croissant-Rouge,Federasi Internasional Perhimpunan Palang Merah dan Bulan Sabit Merah,,Federazione internazionale delle società di Croce Rossa e Mezzaluna Rossa,,,,FICR,Red Cross / Red Crescent,,,www.ifrc.org,Federation,ifrc.org
International Committee of the Red Cross,ICRC,,,,Comité Internacional de la Cruz Roja,,,,,,,,CICR,Red Cross / Red Crescent,,,www.icrc.org,ICRC,icrc.org
Afghan Red Crescent Society,ARCS,,,,Media Luna Roja Afgana,Croissant-Rouge Afghan,,,,جمعیت هلال احمر افغانی,د افغانی سره میاشټي ټولنه,,,Red Cross / Red Crescent,South Asia,AF,www.arcs.org.af,,arcs.org.af
Algerian Red Crescent,,,,,,,,,,,,,,Red Cross / Red Crescent,North Africa,DZ,www.cra-dz.org,,
American Red Cross,ARC,,,,,,,,,,,,,Red Cross / Red Crescent,North America,US,www.redcross.org,redcross,redcross.org
Angola Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Southern Africa,AO,,,
Antigua and Barbuda Red Cross Society,,,,,Cruz Roja de Antigua y Barbuda,,,,,,,,,Red Cross / Red Crescent,English Caribbean,AG,www.caribbeanredcross.org/index.php/national-societies/antigua-a-barbuda,,
Argentine Red Cross,,,,,Cruz Roja Argentina,,,,,,,,CRA,Red Cross / Red Crescent,South America,AR,www.cruzroja.org.ar,,
Armenian Red Cross Society,ARCS,,,,,,,,,,,,,Red Cross / Red Crescent,Turkey and Southern Caucasus,AM,www.redcross.am,,redcross.am
Australian Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,Pacific,AU,www.redcross.org.au,,redcross.org.au
Austrian Red Cross,,,,Österreichisches Rotes Kreuz,,,,,,,,,,Red Cross / Red Crescent,Western Europe,AT,www.roteskreuz.at,,
Bahamas Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,English Caribbean,BS,bahamasredcross.com,,
Bahrain Red Crescent Society,,,,,,,,,,,,,,Red Cross / Red Crescent,Gulf,BH,,,
Bangladesh Red Crescent Society,BDRCS,,,,,,,,,,,,,Red Cross / Red Crescent,South Asia,BD,www.bdrcs.org.bd,,bdrcs.org.bd
Barbados Red Cross Society,,,,,Cruz Roja de Barbados,,,,,,,,,Red Cross / Red Crescent,English Caribbean,BB,www.barbadosredcross.org,,
Belgian Red Cross,,,,,,,,,,,,,,Red Cross / Red Crescent,Western Europe,BE,www.croix-rouge.be,,
Belize Red Cross Society,,,,,Sociedad de la Cruz Roja de Belice,,,,,,,,,Red Cross / Red Crescent,Central America,BZ,www.caribbeanredcross.org/index.php/national-societies/belize,,
Bhutan Red Cross Society,,,,,,,,,,,,,,Red Cross / Red Crescent,South Asia,BT,www.facebook.com/bhutanredcrosssociety,,
