Catalog,Category,Category Code,Item Name,Item Code,Unit of Measure,Weight,Volume,Unit Value,Currency,Image,URL
IFRC,"Bedding and clothes",7,"BLANKET, woven, 80% COTTON, 20%POLYESTER, 1.2x1.8m, light",HSHEBLANCLT2,piece,"0.68","0.0015333333333333","3.10",CHF,https://itemscatalogue.redcross.int/upload/products_data/images/medium/HSHEBLAN03.jpg,https://itemscatalogue.redcross.int/relief--4/household--8/bedding-and-clothes--7/blanket-cotton--HSHEBLAN03.aspx
IFRC,"Bedding and clothes",7,"MOSQUITO NET, LLIN, rectangular large 160 x 180 x 150cm",HSHEMNETRL,piece,"0.444","0.0017","5.50",CHF,https://itemscatalogue.redcross.int/upload/products_data/images/medium/HSHEMNET01.jpg,https://itemscatalogue.redcross.int/relief--4/household--8/bedding-and-clothes--7/mosquito-net--HSHEMNET01.aspx
IFRC,"De-sluging pumps",27,"KIT, PUMP, end-suction solid handling, 2" + 6.5kW Generator",KWATPUMEDR02,piece,200,"0.85","5719.67",CHF,https://itemscatalogue.redcross.int/upload/products_data/images/medium/KWATPUMEDR02.jpg,https://itemscatalogue.redcross.int/wash--6/sanitation--22/de-sluging-pumps--27/water-pump-electrical-drainagedewatering--KWATPUMEDR02.aspx
IFRC,"Family tents, Tarpaulins, accessories",38,"TARPAULINS, woven plastic, 4 x 6 m, white/white",HSHETARPW406,piece,"4.2","0.0112","10.50",CHF,https://itemscatalogue.redcross.int/upload/products_data/images/medium/HSHETARP.jpg,https://itemscatalogue.redcross.int/relief--4/shelter-and-construction-materials--23/family-tents-tarpaulins-accessories--38/tarpaulins-and-plastic-sheeting-roll--HSHETARP.aspx
IFRC,"Household equipment, kits and sets",53,"KITCHEN SET familly of 5 persons, type 'A'",KRELCOOSETA,piece,5,"0.0243","21.30",CHF,https://itemscatalogue.redcross.int/upload/products_data/images/medium/KRELCOOSETA.jpg,https://itemscatalogue.redcross.int/relief--4/household--8/household-equipment-kits-and-sets--53/kitchen-set-type-a--KRELCOOSETA.aspx
IFRC,"Household equipment, kits and sets",53,"JERRYCAN, collapsible, 10L, food grade LDPE, screw cap",HCONJCANPF10,piece,"0.14","0.00042",1,CHF,https://itemscatalogue.redcross.int/upload/products_data/images/medium/HCONJCAN02.jpg,https://itemscatalogue.redcross.int/relief--4/household--8/household-equipment-kits-and-sets--53/jerrycan-plastic-foldable--HCONJCAN02.aspx
IFRC,"Household equipment, kits and sets",53,"BUCKET, plastic, 14L with clip cover and 50mm outlet",HCONBUCKP14L,piece,"1.25","0.001",3,CHF,https://itemscatalogue.redcross.int/upload/products_data/images/medium/HCONBUCK01.jpg,https://itemscatalogue.redcross.int/relief--4/household--8/household-equipment-kits-and-sets--53/bucket-plastic-for-distribution--HCONBUCK01.aspx
IFRC,"Motor pumps",84,"KIT, MOTOR PUMP, diesel, lightweight, + PIPES",KWATPUMCERU2,piece,107,"0.8","1945.22",CHF,https://itemscatalogue.redcross.int/upload/products_data/images/medium/KWATPUMCERU2.jpg,https://itemscatalogue.redcross.int/wash--6/water--30/motor-pumps--84/motor-pump-2-lightweight--KWATPUMCERU2.aspx
IFRC,"Shelter and construction Kits",104,"SHELTER TOOL KIT, tools and fixings",KRELSHEK01,piece,11,"0.036",30,CHF,https://itemscatalogue.redcross.int/upload/products_data/images/medium/KRELSHEK01.jpg,https://itemscatalogue.redcross.int/relief--4/shelter-and-construction-materials--23/shelter-and-construction-kits--104/shelter-tool-kit--KRELSHEK01.aspx
IFRC,"Shelter and construction Kits",104,"KIT, CLEANING, brooms, buckets, bags, protection",KRELCLEA01,piece,6,"0.0286",,CHF,,https://itemscatalogue.redcross.int/relief--4/shelter-and-construction-materials--23/shelter-and-construction-kits--104/cleaning-kit--KRELCLEA01.aspx
