Name,Description,Controller,Function,Symbology,Marker,GPS Marker,Popup Label,Popup Fields,Attributes,Filter,Trackable,Style,Folder,Visible,Enabled
Incidents,,irs,ireport,IFRC,incident,"Danger Area","Incident Report","name,category",,,,,,"False",
Offices,"All Active Offices",org,office,IFRC,office,Building,Office,"name,organisation_id",,"~.obsolete=False",,,,"False",
Project Communities,,project,location,IFRC,project,,"Project Community","location_id",,,,,,"False",
Staff,"All Active Staff",hrm,staff,IFRC,staff,"Contact, Dreadlocks",Staff,"person_id,job_title_id",,"~.status=1","True",,,"False",
Volunteers,"All Active Volunteers",vol,volunteer,IFRC,volunteer,"Contact, Dreadlocks",Volunteer,"person_id",,"~.status=1",,,,"False",
Members,"All Active Members",member,membership,IFRC,member,"Contact, Dreadlocks",Member,"person_id,type",,"~.end_date=NONE","True",,,"False",
Warehouses,"All Active Warehouses",inv,warehouse,IFRC,warehouse,Building,Warehouse,"name,organisation_id",,"~.obsolete=False",,,,"False",
Assets,,asset,asset,IFRC,asset,,Asset,"item_id,number",,,"True",,,"False",
Stock Items,"Used for Search Results",inv,inv_item,IFRC,,,"Stock Item","item_id,site_id,quantity,item_pack_id,expiry_date",,,,,,"False","False"
Training Events,"Used for Search Results",hrm,training_event,IFRC,,,"Training Event","course_id,site_id,start_date",,,,,,"False","False"
Human Resources,"Used for Summary Page",hrm,human_resource,IFRC,,,,"person_id","type",,,"[{'prop':'type','cat':'Staff','externalGraphic':'img/markers/IFRC/Staff.png'},{'prop':'type','cat':'Volunteer','externalGraphic':'img/markers/IFRC/Volunteer.png'}]",,"False","False"
Deployable Human Resources,"Used for Summary Page",deploy,human_resource,IFRC,,,,"person_id","type",,,"[{'prop':'type','cat':'Staff','externalGraphic':'img/markers/IFRC/Staff.png'},{'prop':'type','cat':'Volunteer','externalGraphic':'img/markers/IFRC/Volunteer.png'}]",,"False","False"
Missions,"Used for Summary Page",deploy,mission,IFRC,,,"Mission","name,event_type_id","event_type_id",,,"[{'prop':'event_type_id','cat':'Avalanche','externalGraphic':'img/markers/OCHA/disaster_snow_avalanche_40px.png'},{'prop':'event_type_id','cat':'Cold Wave','externalGraphic':'img/markers/OCHA/disaster_cold_wave_40px.png'},{'prop':'event_type_id','cat':'Drought','externalGraphic':'img/markers/OCHA/disaster_drought_40px.png'},{'prop':'event_type_id','cat':'Earthquake','externalGraphic':'img/markers/OCHA/disaster_earthquake_40px.png'},{'prop':'event_type_id','cat':'Epidemic','externalGraphic':'img/markers/OCHA/disaster_epidemic_40px.png'},{'prop':'event_type_id','cat':'Fire','externalGraphic':'img/markers/OCHA/disaster_fire_40px.png'},{'prop':'event_type_id','cat':'Flash Floods','externalGraphic':'img/markers/OCHA/disaster_flash_flood_40px.png'},{'prop':'event_type_id','cat':'Floods','externalGraphic':'img/markers/OCHA/disaster_flood_40px.png'},{'prop':'event_type_id','cat':'Heat Wave','externalGraphic':'img/markers/OCHA/disaster_heatwave_40px.png'},{'prop':'event_type_id','cat':'Land Slide','externalGraphic':'img/markers/OCHA/disaster_landslide_40px.png'},{'prop':'event_type_id','cat':'Local Storm','externalGraphic':'img/markers/OCHA/disaster_storm_40px.png'},{'prop':'event_type_id','cat':'Locust','externalGraphic':'img/markers/OCHA/disaster_locust_infestation_40px.png'},{'prop':'event_type_id','cat':'Tropical Cyclone','externalGraphic':'img/markers/OCHA/disaster_cyclone_40px.png'},{'prop':'event_type_id','cat':'Tsunami','externalGraphic':'img/markers/OCHA/disaster_tsunami_40px.png'},{'prop':'event_type_id','cat':'Volcano','externalGraphic':'img/markers/OCHA/disaster_volcano_40px.png'}]",,"False","False"
